customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag
CUST0001,56.0,Female,West,Secondary,Unemployed,312698.7250420808,295001.58286696457,Other,616.0,5,11,0.7484131892690976,2018-01-01,0
CUST0002,69.0,Male,East,Secondary,Self-Employed,366444.08870622277,224300.47220543996,Home,430.0,7,67,0.88120157891681,2018-01-02,0
CUST0003,46.0,Male,West,Primary,Unemployed,558438.5456652746,46729.94401100691,Business,401.0,6,156,0.6157378288578275,2018-01-03,0
CUST0004,32.0,Male,South,Graduate,Self-Employed,462534.19631872507,180371.93486120633,Business,609.0,9,199,0.32229352011511536,2018-01-04,0
CUST0005,60.0,Male,North,Primary,Salaried,52353.753335005604,230170.00089017354,Home,591.0,5,81,0.8973380868422337,2018-01-05,1
CUST0006,25.0,Male,West,Post-Graduate,Salaried,75859.96947298676,2746487.891482642,Education,794.0,8,149,0.814613309013662,2018-01-06,0
CUST0007,38.0,Male,West,Primary,Self-Employed,378626.9644285649,15620.641651925427,Education,660.0,8,163,0.5107045170242351,2018-01-07,1
CUST0008,56.0,Male,West,Primary,Self-Employed,591537.3172107104,110968.21519801283,Car,637.0,0,36,0.760257027873467,2018-01-08,0
CUST0009,36.0,Male,West,Post-Graduate,Salaried,-49500.968545046984,193592.22358512835,Other,309.0,0,38,0.7526564186103735,2018-01-09,0
CUST0010,40.0,Female,North,Secondary,Salaried,400053.9647696739,253629.090951719,Car,348.0,0,24,0.8478391757387996,2018-01-10,0
CUST0011,,Female,North,Secondary,,,19612.782109994645,Education,,7,183,0.772739075018768,2018-01-11,1
CUST0012,28.0,Female,South,Secondary,Salaried,777667.5556416896,183787.60245201417,Home,620.0,11,138,0.6149433887657316,2018-01-12,0
CUST0013,41.0,Female,North,Graduate,Salaried,422995.6376574273,214304.87698789523,Car,432.0,11,69,0.5874429751652059,2018-01-13,0
CUST0014,53.0,Male,West,Post-Graduate,Salaried,576597.7969481857,284961.1988516213,Business,382.0,9,116,0.47388583066528944,2018-01-14,1
CUST0015,57.0,Male,South,Post-Graduate,Salaried,528251.4280174926,269285.75842374365,Business,356.0,6,194,0.6011885119766058,2018-01-15,0
CUST0016,41.0,Female,South,Primary,Salaried,73886.70403855987,258257.1318808805,Home,675.0,2,12,0.7361732692243063,2018-01-16,0
CUST0017,20.0,Female,South,Graduate,Salaried,653641.4433263475,120005.94932980658,Education,648.0,1,124,0.8752301010420427,2018-01-17,0
CUST0018,39.0,Female,West,Secondary,Salaried,543079.3010912576,9199.786287669238,Business,570.0,3,155,0.47382988654569613,2018-01-18,1
CUST0019,19.0,Male,East,Graduate,Self-Employed,601653.7279349179,160694.7242938599,Business,782.0,2,61,0.5589225623910057,2018-01-19,0
CUST0020,41.0,Male,West,Post-Graduate,Salaried,1285247.5412872653,300163.18252085603,Other,410.0,6,69,0.4558443960470254,2018-01-20,0
CUST0021,61.0,Male,North,Post-Graduate,Self-Employed,83177.41210028232,339345.45275244315,Car,375.0,9,43,0.6347908967867232,2018-01-21,1
CUST0022,47.0,Male,North,Primary,Self-Employed,844939.3299522217,271054.9102297785,Education,457.0,7,105,0.6039364032490077,2018-01-22,1
CUST0023,55.0,Female,West,Primary,Salaried,442510.4961199289,242934.08228017343,Car,831.0,5,98,0.11426703215489864,2018-01-23,0
CUST0024,,Female,West,Post-Graduate,,,237963.96483859656,Education,,2,69,0.5329292472805268,2018-01-24,0
CUST0025,38.0,Male,South,Secondary,Salaried,490897.55093975156,144388.12532392194,Business,421.0,5,163,0.1707895165592112,2018-01-25,0
CUST0026,50.0,Other,West,Secondary,Self-Employed,415152.7333203913,186993.970644638,Other,340.0,1,28,0.12110689440443068,2018-01-26,0
CUST0027,29.0,Female,South,Graduate,Salaried,386033.41435224825,366906.9525826331,Car,466.0,11,120,0.7329577296677586,2018-01-27,1
CUST0028,39.0,Male,North,Post-Graduate,Self-Employed,565901.7471146018,1862164.0929669808,Business,322.0,6,31,0.30691988972744044,2018-01-28,0
CUST0029,61.0,Male,South,Post-Graduate,Self-Employed,196565.26066566416,361477.87907098513,Education,578.0,10,170,0.37252406182983944,2018-01-29,0
CUST0030,42.0,Male,West,Secondary,Salaried,650115.8335043532,167797.18455079416,Car,768.0,9,175,0.15126767008325298,2018-01-30,0
CUST0031,,Male,North,Secondary,,,332543.2109095078,Car,,6,137,0.24360020839548052,2018-01-31,0
CUST0032,44.0,Male,East,Post-Graduate,Self-Employed,273986.13219192845,59318.49905024617,Business,308.0,3,44,0.7124838546062339,2018-02-01,0
CUST0033,59.0,Male,South,Primary,Self-Employed,409997.42840083723,258590.4201164649,Car,312.0,7,116,0.4948246641860967,2018-02-02,0
CUST0034,45.0,Male,North,Post-Graduate,Salaried,751429.8433725146,126322.9864052378,Other,351.0,3,137,0.8045347700401188,2018-02-03,0
CUST0035,33.0,Male,South,Post-Graduate,Self-Employed,392932.9825967554,58473.280807581265,Other,508.0,6,92,0.41779370517346814,2018-02-04,0
CUST0036,32.0,Female,North,Secondary,Salaried,571690.7236419241,221853.40424109457,Business,849.0,3,147,0.3149605886034146,2018-02-05,0
CUST0037,64.0,Male,North,Secondary,Self-Employed,353808.7448569053,300947.17885959684,Education,701.0,11,152,0.3780798515669208,2018-02-06,0
CUST0038,68.0,Female,South,Primary,Salaried,651584.3699847239,115505.85614065036,Business,490.0,4,148,0.6702174348135236,2018-02-07,1
CUST0039,61.0,Male,East,Primary,Self-Employed,637101.5477580408,50098.403954159876,Other,350.0,6,120,0.5440045378675888,2018-02-08,0
CUST0040,,Other,North,Graduate,,,190815.52356650447,Home,692.0,9,99,0.8233529660419423,2018-02-09,0
